"Format Information","Signature Byte Sequences"
"[fmt-72] Drawing Interchange File Format (ASCII) 2.6","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143313030330D0A*300D0A454E445345430D0A"
"[fmt-73] Drawing Interchange File Format (ASCII) R9","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143313030340D0A*300D0A454E445345430D0A"
"[fmt-74] Drawing Interchange File Format (ASCII) R10","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143313030360D0A*300D0A454E445345430D0A"
"[fmt-75] Drawing Interchange File Format (ASCII) R11/12","30(0D0A|0A)53454354494F4E(0D0A|0A)202032(0D0A|0A)484541444552(0D0A|0A)*39(0D0A|0A)2441434144564552(0D0A|0A)202031(0D0A|0A)414331303039(0D0A|0A)*30(0D0A|0A)454E44534543(0D0A|0A)"
"[fmt-76] Drawing Interchange File Format (ASCII) R13","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143313031320D0A*300D0A454E445345430D0A"
"[fmt-77] Drawing Interchange File Format (ASCII) R14","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143313031340D0A*300D0A454E445345430D0A"
"[fmt-78] Drawing Interchange File Format (ASCII) 2000-2002","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143313031350D0A*300D0A454E445345430D0A"
"[fmt-78] Drawing Interchange File Format (ASCII) 2000-2002","300A53454354494F4E0A2020320A4845414445520A*390A24414341445645520A2020310A4143313031350A*300A454E445345430A"
"[fmt-79] Drawing Interchange File Format (ASCII) 2004/2005/2006","300D0A53454354494F4E0D0A2020320D0A4845414445520D0A*390D0A24414341445645520D0A2020310D0A4143313031380D0A*300D0A454E445345430D0A"
"[fmt-79] Drawing Interchange File Format (ASCII) 2004/2005/2006","300A53454354494F4E0A2020320A4845414445520A*390A24414341445645520A2020310A4143313031380A*300A454E445345430A"
"[fmt-80] Drawing Interchange File Format (Binary) R10","4175746F4341442042696E617279204458460D0A1A00*0053454354494F4E000248454144455200*092441434144564552000141433130303600*00454E4453454300"
"[fmt-81] Drawing Interchange File Format (Binary) R11/12","4175746F4341442042696E617279204458460D0A1A00*0053454354494F4E000248454144455200*092441434144564552000141433130303900*00454E4453454300"
"[fmt-82] Drawing Interchange File Format (Binary) R13","4175746F4341442042696E617279204458460D0A1A00*0053454354494F4E000248454144455200*092441434144564552000141433130313200*00454E4453454300"
"[fmt-83] Drawing Interchange File Format (Binary) R14","4175746F4341442042696E617279204458460D0A1A00*000053454354494F4E00020048454144455200*0900244143414456455200010041433130313400*0000454E4453454300"
"[fmt-84] Drawing Interchange File Format (Binary) 2000-2002","4175746F4341442042696E617279204458460D0A1A00*000053454354494F4E00020048454144455200*0900244143414456455200010041433130313500*0000454E4453454300"
"[fmt-85] Drawing Interchange File Format (Binary) 2004-2005","4175746F4341442042696E617279204458460D0A1A00*000053454354494F4E00020048454144455200*0900244143414456455200010041433130313800*0000454E4453454300"
"[fmt-896] Music XML 4","3C3F786D6C2076657273696F6E3D(22|27)312E30(22|27)*687474703A2F2F7777772E6D75736963786D6C2E6F72672F647464732F"
"[fmt-91] Scalable Vector Graphics 1.0","3C3F786D6C2076657273696F6E3D22312E3022*3C737667*7376673E"
"[fmt-92] Scalable Vector Graphics 1.1","3C3F786D6C2076657273696F6E3D22312E3022*3C737667*76657273696F6E3D22312E3122*7376673E"
"[fmt-932] Mathcad Document XML","3C3F786D6C2076657273696F6E3D22312E3022*786D6C6E733D22687474703A2F2F736368656D61732E6D617468736F66742E636F6D"
"[fmt-935] Animated Portable Network Graphics 2","89504E470D0A1A0A0000000D49484452*6163544C"
"[fmt-95] Acrobat PDF/A - Portable Document Format 1a","786D6C6E733A7064666169643D(22|27)687474703A2F2F7777772E6169696D2E6F72672F706466612F6E732F6964*7064666169643A70617274(3D22|3D27|3E)31(22|27|3C2F7064666169643A706172743E){0-11}7064666169643A636F6E666F726D616E6365(3E|3D22|3D27)41(22|27|3C2F7064666169643A636F6E666F726D616E63653E)"
"[x-fmt-108] STL (Standard Tessellation Language) ASCII 3.0","(73|2073)6F6C696420*6661636574206E6F726D616C20{0-200}6F75746572206C6F6F70{0-20}76657274657820"
